Fold,Method,AUC_XRange,PosAUC,NegAUC,PosAUC_x100,NegAUC_x100,PosCurveMean,NegCurveMean
0,GradCAM,0.1-0.9,0.5920381973123854,0.45509552208196585,59.20381973123854,45.50955220819659,0.780255;0.783440;0.780255;0.805732;0.799363;0.665605;0.640127;0.710191;0.691083,0.490446;0.627389;0.519108;0.464968;0.659236;0.627389;0.519108;0.598726;0.579618
0,Saliency,0.1-0.9,0.47022290568158126,0.4904458388733636,47.02229056815813,49.044583887336366,0.512739;0.592357;0.592357;0.592357;0.592357;0.592357;0.592357;0.592357;0.598726,0.786624;0.560510;0.652866;0.627389;0.598726;0.592357;0.592357;0.592357;0.589172
1,GradCAM,0.1-0.9,0.6117834171315857,0.538853475468079,61.17834171315857,53.88534754680791,0.955414;0.952229;0.910828;0.885350;0.812102;0.598726;0.592357;0.592357;0.592357,0.961783;0.859873;0.789809;0.592357;0.592357;0.592357;0.592357;0.592357;0.592357
1,Saliency,0.1-0.9,0.49968150115696486,0.5636942423761461,49.96815011569649,56.36942423761461,0.630573;0.668790;0.678344;0.646497;0.611465;0.595541;0.592357;0.592357;0.592357,1.000000;0.984076;0.802548;0.678344;0.598726;0.592357;0.592357;0.592357;0.592357
2,GradCAM,0.1-0.9,0.6413737736856595,0.6669328936372703,64.13737736856595,66.69328936372703,0.923323;0.856230;0.846645;0.865815;0.872204;0.722045;0.741214;0.690096;0.715655,0.968051;0.984026;0.984026;0.961661;0.926518;0.805112;0.734824;0.587859;0.402556
2,Saliency,0.1-0.9,0.36549520850800477,0.5423322437098994,36.54952085080048,54.233224370989944,0.792332;0.632588;0.674121;0.629393;0.456869;0.325879;0.210863;0.137380;0.383387,0.996805;0.964856;0.709265;0.603834;0.591054;0.600639;0.581470;0.587859;0.571885
CV_MEAN,GradCAM,0.1-0.9,0.6150651293765436,0.5536272970624384,61.50651293765436,55.36272970624384,,
CV_MEAN,Saliency,0.1-0.9,0.44513320511551696,0.5321574416531364,44.5133205115517,53.21574416531364,,
ALL,GradCAM,0.1-0.9,0.6150371711998069,0.5535068872892451,61.50371711998069,55.35068872892451,,
ALL,Saliency,0.1-0.9,0.4452178363552699,0.5321466288985596,44.52178363552699,53.21466288985596,,
