Class,Model,NoiseLevel,Acc,BA,Loss,AUROC,AUPR,F1 Score,Precision,Recall,Fold
fireimage,efficientnetv2,0.1,1.0,1.0,0.006617351381736956,1.0,1.0,1.0,1.0,1.0,0
fireimage,efficientnetv2,0.2,0.9904458598726115,0.98828125,0.035845542072976945,0.9986979166666666,0.9990739765901522,0.992,0.9841269841269841,1.0,0
fireimage,efficientnetv2,0.3,0.7133757961783439,0.6484375,0.5752167071951375,0.9801747311827957,0.9858719473692847,0.8051948051948052,0.6739130434782609,1.0,0
fireimage,efficientnetv2,0.4,0.5923566878980892,0.5,1.7366158082579992,0.903267809139785,0.885017736442111,0.744,0.5923566878980892,1.0,0
fireimage,efficientnetv2,0.5,0.5923566878980892,0.5,2.2788867581825536,0.12424395161290322,0.4071058033779328,0.744,0.5923566878980892,1.0,0
fireimage,efficientnetv2,0.1,0.9872611464968153,0.984375,0.02898990644262896,1.0,1.0,0.9893617021276596,0.9789473684210527,1.0,1
fireimage,efficientnetv2,0.2,0.8885350318471338,0.86328125,0.4236807619446924,0.9518229166666666,0.9589002625290732,0.914004914004914,0.8416289592760181,1.0,1
fireimage,efficientnetv2,0.3,0.6528662420382165,0.57421875,2.139708400925026,0.8098328293010753,0.877904582165396,0.7733887733887734,0.6305084745762712,1.0,1
fireimage,efficientnetv2,0.4,0.5923566878980892,0.5,3.318204302797602,0.4992019489247312,0.5383208114464261,0.744,0.5923566878980892,1.0,1
fireimage,efficientnetv2,0.5,0.5923566878980892,0.5,3.4196789830972762,0.11951864919354838,0.41256412439473356,0.744,0.5923566878980892,1.0,1
fireimage,efficientnetv2,0.1,0.9936102236421726,0.9945945945945946,0.018146833528008777,1.0,0.9999999999999998,0.9945652173913043,1.0,0.9891891891891892,2
fireimage,efficientnetv2,0.2,0.6198083067092651,0.6675464527027027,1.570678189087409,0.922972972972973,0.9265036524699821,0.5576208178438662,0.8928571428571429,0.40540540540540543,2
fireimage,efficientnetv2,0.3,0.8913738019169329,0.8683910472972973,0.4666104485212376,0.934058277027027,0.9276957418298473,0.9154228855721394,0.847926267281106,0.9945945945945946,2
fireimage,efficientnetv2,0.4,0.5910543130990416,0.5,2.223147116628246,0.8340371621621622,0.86174196038896,0.7429718875502008,0.5910543130990416,1.0,2
fireimage,efficientnetv2,0.5,0.5910543130990416,0.5,2.638522807490854,0.32552787162162167,0.4707171815305171,0.7429718875502008,0.5910543130990416,1.0,2
fireimage,efficientnetv2,0.1,0.9936237900463293,0.9929898648648648,0.017918030450791562,1.0,1.0,0.9946423065063213,0.9929824561403509,0.9963963963963964,CV_MEAN
fireimage,efficientnetv2,0.2,0.8329297328096702,0.8397029842342342,0.6767348310350262,0.9578312687687687,0.9614926305297358,0.8212085772829267,0.9062043620867151,0.8018018018018017,CV_MEAN
fireimage,efficientnetv2,0.3,0.7525386133778311,0.6970157657657658,1.0605118522138002,0.9080219458369659,0.9304907571215093,0.831335488051906,0.7174492617785461,0.9981981981981982,CV_MEAN
fireimage,efficientnetv2,0.4,0.5919225629650733,0.5,2.425989075894616,0.7455023067422261,0.7616935027591657,0.7436572958500669,0.5919225629650733,1.0,CV_MEAN
fireimage,efficientnetv2,0.5,0.5919225629650733,0.5,2.7790295162568945,0.18976349080935775,0.43012903643439443,0.7436572958500669,0.5919225629650733,1.0,CV_MEAN
