Class,Model,NoiseLevel,Acc,BA,Loss,AUROC,AUPR,F1 Score,Precision,Recall,Fold
fireimage,DenseNet121,0.1,0.24423655195456065,0.17951866404715128,1.066989624217486,0.1040405409011872,0.26872118638811326,0.0,0.0,0.0,0
fireimage,DenseNet121,0.2,0.37153357834948214,0.2730844793713163,0.9406523478696309,0.19606333643323,0.31874934491995344,0.0,0.0,0.0,0
fireimage,DenseNet121,0.3,0.6177748078850651,0.4540766208251473,0.6926323006553791,0.4032416502946955,0.3197460741730705,0.0,0.0,0.0,0
fireimage,DenseNet121,0.4,0.6802539258269295,0.5,0.6330077631832802,0.49975442043222,0.3197460741730705,0.0,0.0,0.0,0
fireimage,DenseNet121,0.5,0.6802539258269295,0.5,0.6330077593596611,0.5,0.3197460741730705,0.0,0.0,0.0,0
fireimage,DenseNet121,0.1,0.2730614973262032,0.20184416391312943,1.0307264500123294,0.14301551480234867,0.1967477718820454,0.0036646816307833257,0.0032626427406199023,0.0041797283176593526,1
fireimage,DenseNet121,0.2,0.6801470588235294,0.5,0.6331713081681155,0.28373988123204424,0.2743798371011989,0.0,0.0,0.0,1
fireimage,DenseNet121,0.3,0.6801470588235294,0.5,0.633114626382124,0.5,0.31985294117647056,0.0,0.0,0.0,1
fireimage,DenseNet121,0.4,0.6801470588235294,0.5,0.633114626382124,0.5,0.31985294117647056,0.0,0.0,0.0,1
fireimage,DenseNet121,0.5,0.6801470588235294,0.5,0.633114626382124,0.5,0.31985294117647056,0.0,0.0,0.0,1
fireimage,DenseNet121,0.1,0.2897727272727273,0.26699144285351184,1.0159679421766556,0.22730610348165203,0.21163634452244628,0.1550695825049702,0.1251604621309371,0.20376175548589343,2
fireimage,DenseNet121,0.2,0.26169786096256686,0.2015165635855291,1.048178865629084,0.1696178937558248,0.20182106724622942,0.029010989010989013,0.02503793626707132,0.034482758620689655,2
fireimage,DenseNet121,0.3,0.35661764705882354,0.26216216216216215,0.9557663361656474,0.15278190701388195,0.1985687341178011,0.0,0.0,0.0,2
fireimage,DenseNet121,0.4,0.5661764705882353,0.41621621621621624,0.7422507370219511,0.20102208221330475,0.20932357863428283,0.0,0.0,0.0,2
fireimage,DenseNet121,0.5,0.6654411764705882,0.4891891891891892,0.6469049890411092,0.2802569454607073,0.2286085686251097,0.0,0.0,0.0,2
fireimage,DenseNet121,0.1,0.26902359218449706,0.2161180902712642,1.0378946721354902,0.15812071972839595,0.225701767597535,0.052911421378584504,0.042807701623852334,0.0693138279345176,CV_MEAN
fireimage,DenseNet121,0.2,0.4377928327118595,0.3248670143189485,0.8740008405556101,0.216473703807033,0.2649834164224606,0.00967032967032967,0.00834597875569044,0.011494252873563218,CV_MEAN
fireimage,DenseNet121,0.3,0.551513171255806,0.4054129276624365,0.7605044210677168,0.3520078524361925,0.2793892498224474,0.0,0.0,0.0,CV_MEAN
fireimage,DenseNet121,0.4,0.6421924850795647,0.4720720720720721,0.6694577088624518,0.40025883421517494,0.28297419799460793,0.0,0.0,0.0,CV_MEAN
fireimage,DenseNet121,0.5,0.6752807203736824,0.49639639639639643,0.6376757915942981,0.4267523151535691,0.28940252799155025,0.0,0.0,0.0,CV_MEAN
