Class,Model,NoiseLevel,Acc,BA,Loss,AUROC,AUPR,F1 Score,Precision,Recall,Fold
fireimage,Resnet50,0.1,0.26762445706648846,0.19670923379174854,1.0350368985992748,0.1678091120540819,0.2017152281455946,0.0,0.0,0.0,0
fireimage,Resnet50,0.2,0.5035081857667891,0.37313415983560283,0.7907517005717758,0.4086148901794861,0.26273085505965665,0.014588859416445624,0.019963702359346643,0.011494252873563218,0
fireimage,Resnet50,0.3,0.6525225526227865,0.47961689587426326,0.6601884323260954,0.40426323050298396,0.3015725127221198,0.0,0.0,0.0,0
fireimage,Resnet50,0.4,0.6802539258269295,0.5,0.6330077596782961,0.4992632612966601,0.3197460741730705,0.0,0.0,0.0,0
fireimage,Resnet50,0.5,0.6802539258269295,0.5,0.6330077593596611,0.5,0.3197460741730705,0.0,0.0,0.0,0
fireimage,Resnet50,0.1,0.17613636363636365,0.12948402948402948,1.1359966700089807,0.06334907149954173,0.18750180542503353,0.0,0.0,0.0,1
fireimage,Resnet50,0.2,0.2052139037433155,0.1514134824479652,1.104777304246464,0.12818081689555044,0.19681933786480818,0.0016792611251049538,0.0014035087719298245,0.0020898641588296763,1
fireimage,Resnet50,0.3,0.6534090909090909,0.48034398034398035,0.6582905439769521,0.7479487752215025,0.4530160984715482,0.0,0.0,0.0,1
fireimage,Resnet50,0.4,0.6781417112299465,0.49852579852579854,0.6351917268120669,0.6408825183119854,0.3919797923958751,0.0,0.0,0.0,1
fireimage,Resnet50,0.5,0.6801470588235294,0.5,0.6331160116323176,0.20176329079150399,0.2255373545277926,0.0,0.0,0.0,1
fireimage,Resnet50,0.1,0.26637700534759357,0.20301900646728233,1.0138673230925983,0.1986626409823902,0.20669560884185081,0.023141967067200713,0.020155038759689922,0.027168234064785787,2
fireimage,Resnet50,0.2,0.31016042780748665,0.33982320878872607,0.9844291812595837,0.2131335382119081,0.20845642012631788,0.28133704735376047,0.21096605744125327,0.4221525600835946,2
fireimage,Resnet50,0.3,0.2867647058823529,0.4100821824959756,0.9881024273002849,0.2624343066349336,0.21587898913407433,0.4029099048684947,0.2751241880015285,0.7523510971786834,2
fireimage,Resnet50,0.4,0.3231951871657754,0.4936004970487729,0.9022826404176294,0.4933008813886557,0.2956067373880837,0.4774193548387097,0.3169979437971213,0.9665621734587252,2
fireimage,Resnet50,0.5,0.5538101604278075,0.6418227004433901,0.7046361288284873,0.6366008641870711,0.3639161454356293,0.5595513032002639,0.4088717454194793,0.8861024033437827,2
fireimage,Resnet50,0.1,0.23671260868348187,0.17640408991435344,1.0616336305669514,0.14327360817867127,0.19863754747082632,0.007713989022400238,0.006718346253229974,0.009056078021595262,CV_MEAN
fireimage,Resnet50,0.2,0.3396275057725304,0.288123617024098,0.9599860620259412,0.2499764150956482,0.22266887101692756,0.09920172263177035,0.07744442285750991,0.1452455590386625,CV_MEAN
fireimage,Resnet50,0.3,0.5308987831380768,0.4566810195714064,0.7688604678677775,0.47154877078647334,0.3234892001092475,0.13430330162283158,0.09170806266717617,0.25078369905956116,CV_MEAN
fireimage,Resnet50,0.4,0.5605302747408838,0.49737543185819044,0.7234940423026641,0.5444822203324337,0.33577753465234306,0.15913978494623657,0.1056659812657071,0.3221873911529084,CV_MEAN
fireimage,Resnet50,0.5,0.6380703816927554,0.54727423348113,0.656919966606822,0.4461213849928584,0.30306652471216416,0.18651710106675465,0.1362905818064931,0.2953674677812609,CV_MEAN
