Rank,Model,Folds,Accuracy (mean),Loss (mean),Recall (mean),Precision (mean),F1 score (mean),AUROC (mean)
1,efficientnetv2,3,1.0,0.016,1.0,1.0,1.0,1.0
2,nextvit,3,0.9936666666666666,0.015333333333333332,0.9933333333333333,0.9956666666666667,0.9943333333333334,1.0
3,efficientnetv2_proposal,3,0.8266666666666667,0.2763333333333333,0.8266666666666667,0.7303333333333333,0.7573333333333333,0.9863333333333334
4,Resnet50,3,0.0013333333333333333,1.2990000000000002,0.0013333333333333333,0.001,0.001,0.0
5,DenseNet121,3,0.0,1.3066666666666666,0.0,0.0,0.0,0.0
