Feature,Normal_mean,Normal_std,Abnormal_mean,Abnormal_std,t_statistic,p_value
L_mean,108.16686522087191,10.800713134217254,122.45842872023093,4.319903453208215,-24.46739447536952,2.5509081237723684e-101
a_mean,126.2995040788966,3.1160634616838,122.15174640200264,5.056496413387507,15.004929333132722,1.698265430715762e-45
b_mean,133.20329369984566,3.19290878485989,124.18671321413645,6.6490975675817685,26.594654492449127,6.715271593457023e-115
Area,416520.34,272903.9663273673,1348817.5716145833,566016.2896512934,-32.27256287973273,1.6867421164727973e-151
Circularity,0.040892111785408344,0.06058519428539652,0.11200827730142997,0.10396270365695899,-12.737887250477586,3.0827219752321646e-34
Aspect_ratio,0.36447684818601167,0.2200053239541663,0.32338596122976565,0.27539665099919847,2.46572919321316,0.01386281694526551
