Fold,Method,AverageDropPercent,IncreaseInConfidencePercent
0,LIME,26.041530743996795,24.0
1,LIME,13.835972655881443,10.0
2,LIME,23.24872875590569,24.0
CV_MEAN,LIME,21.042077385261308,19.333333333333332
ALL,LIME,21.042077385261308,19.333333333333332
