Fold,Method,AverageDropPercent,IncreaseInConfidencePercent
0,GradCAM,31.992897366415875,24.0
0,Saliency,32.56149073324028,25.0
1,GradCAM,39.91984300994416,50.0
1,Saliency,27.78523575177048,50.0
2,GradCAM,37.38297724566493,0.0
2,Saliency,64.74961891800056,6.0
CV_MEAN,GradCAM,36.43190587400832,24.666666666666668
CV_MEAN,Saliency,41.698781801003776,27.0
ALL,GradCAM,36.43190587400832,24.666666666666668
ALL,Saliency,41.69878180100377,27.0
