Fold,Method,AverageDropPercent,IncreaseInConfidencePercent
0,LIME,1.1204896274119351,78.0
1,LIME,4.781200201458554,73.0
2,LIME,1.3203556581468663,73.0
CV_MEAN,LIME,2.407348495672452,74.66666666666667
ALL,LIME,2.407348495672452,74.66666666666667
