Fold,Method,AverageDropPercent,IncreaseInConfidencePercent
0,GradCAM,0.004189141489342349,82.0
0,Saliency,0.007270549405690389,83.0
1,GradCAM,2.8409189738941523,71.0
1,Saliency,14.104272069412902,71.0
2,GradCAM,1.3110714383415722,66.0
2,Saliency,1.3509175135460851,70.0
CV_MEAN,GradCAM,1.3853931845750223,73.0
CV_MEAN,Saliency,5.154153377454892,74.66666666666667
ALL,GradCAM,1.3853931845750223,73.0
ALL,Saliency,5.154153377454892,74.66666666666667
