Fold,Method,AverageDropPercent,IncreaseInConfidencePercent
0,GradCAM,17.797651894914104,23.0
0,Saliency,33.68607784375606,18.0
1,GradCAM,8.217445295448236,47.0
1,Saliency,39.997868236175414,60.0
2,GradCAM,31.7970723350656,12.0
2,Saliency,45.9754524987169,8.0
CV_MEAN,GradCAM,19.270723175142646,27.333333333333332
CV_MEAN,Saliency,39.886466192882786,28.666666666666668
ALL,GradCAM,19.27072317514265,27.333333333333332
ALL,Saliency,39.88646619288279,28.666666666666668
