Fold,Method,AverageDropPercent,IncreaseInConfidencePercent
0,LIME,15.372097405031262,34.0
1,LIME,24.04179643002703,51.0
2,LIME,23.042933320578076,25.0
CV_MEAN,LIME,20.81894238521212,36.666666666666664
ALL,LIME,20.81894238521212,36.666666666666664
