Class,Model,Ratio,Acc,BA,Loss,AUROC,AUPR,F1 Score,Precision,Recall,Fold
fireimage,Resnet50,10:90,0.08757062146892655,0.20381700481566273,1.2121422333456926,0.18907890581826794,0.7851370857566462,0.1036077705827937,0.448,0.058577405857740586,0
fireimage,Resnet50,30:70,0.1603221083455344,0.22806919073374834,1.1411495247138541,0.21134937238493726,0.5373856862969386,0.08895949166004766,0.1848184818481848,0.058577405857740586,0
fireimage,Resnet50,50:50,0.22727272727272727,0.22727272727272727,1.0769519154430058,0.2067131153716388,0.34751273222208345,0.07039597737272156,0.08832807570977919,0.05851619644723093,0
fireimage,Resnet50,70:30,0.2837977296181631,0.21875972093862003,1.0204829945365792,0.20424283749971822,0.19294050334418178,0.044954128440366975,0.03746177370030581,0.05619266055045872,0
fireimage,Resnet50,90:10,0.3489606368863335,0.2194244526102933,0.9566787390095214,0.20783196712400254,0.06067372292468599,0.017356475300400534,0.010220125786163521,0.05752212389380531,0
fireimage,Resnet50,10:90,0.02824858757062147,0.14150943396226415,1.2841390764196938,0.11360720770506036,0.7679180596541291,0.0,0.0,0.0,1
fireimage,Resnet50,30:70,0.0841874084919473,0.1402439024390244,1.227874763888112,0.11344524951525665,0.5093790700637091,0.0,0.0,0.0,1
fireimage,Resnet50,50:50,0.12748171368861025,0.12748171368861025,1.185421788704931,0.10404826559836827,0.32494728199563955,0.0,0.0,0.0,1
fireimage,Resnet50,70:30,0.18203716448726773,0.130039331366765,1.1301314200685506,0.10517447655904666,0.17924490535042373,0.0,0.0,0.0,1
fireimage,Resnet50,90:10,0.23407079646017698,0.130039331366765,1.0780628299291155,0.10514505616902045,0.05582917936120502,0.0,0.0,0.0,1
fireimage,Resnet50,10:90,0.05273069679849341,0.20962935185916162,1.2288588828735207,0.2106309702376253,0.7860231663464246,0.025193798449612403,0.17105263157894737,0.013598326359832637,2
fireimage,Resnet50,30:70,0.14055636896046853,0.2250918461067456,1.145498157594773,0.23215889376466986,0.5416364859120136,0.021666666666666667,0.05327868852459016,0.013598326359832637,2
fireimage,Resnet50,50:50,0.20167189132706373,0.20167189132706373,1.0886426628445631,0.18506107447843478,0.34260096768495246,0.01673101673101673,0.021775544388609715,0.013584117032392894,2
fireimage,Resnet50,70:30,0.29215416379903647,0.2116502259749398,1.0051052426766791,0.1973562397950439,0.1926015507725658,0.008674698795180723,0.007481296758104738,0.010321100917431193,2
fireimage,Resnet50,90:10,0.3734513274336283,0.21337266470009833,0.9298461443555038,0.1969244089417948,0.060581109814965124,0.004219409282700422,0.002508361204013378,0.01327433628318584,2
fireimage,Resnet50,10:90,0.05618330194601381,0.1849852635456962,1.2417133975463024,0.17110569458698455,0.7796927705857333,0.04293385634413537,0.20635087719298248,0.024058577405857744,CV_MEAN
fireimage,Resnet50,30:70,0.1283552952659834,0.1978016464265061,1.1715074820655798,0.18565117188828792,0.5294670807575538,0.03687538610890478,0.07936572345759166,0.024058577405857744,CV_MEAN
fireimage,Resnet50,50:50,0.18547544409613373,0.18547544409613373,1.1170054556641666,0.16527415181614727,0.3383536606342252,0.029042331367912764,0.03670120669946297,0.024033437826541274,CV_MEAN
fireimage,Resnet50,70:30,0.2526630193014891,0.1868164260934416,1.0519065524272697,0.1689245179512696,0.18826231982239042,0.017876275745182565,0.014981023486136849,0.02217125382262997,CV_MEAN
fireimage,Resnet50,90:10,0.3188275869267129,0.18761214955905223,0.9881959044313802,0.1699671440782726,0.05902800403361871,0.0071919615277003185,0.004242828996725633,0.02359882005899705,CV_MEAN
