Class,Model,Ratio,Acc,BA,Loss,AUROC,AUPR,F1 Score,Precision,Recall,Fold
fireimage,DenseNet121,10:90,0.035781544256120526,0.1792452830188679,1.2764424417876479,0.13811478645298808,0.8145074867833675,0.0,0.0,0.0,0
fireimage,DenseNet121,30:70,0.12005856515373353,0.2,1.1915057337301542,0.1318221247066027,0.5947466564442846,0.0,0.0,0.0,0
fireimage,DenseNet121,50:50,0.20219435736677116,0.20219435736677116,1.107839369225776,0.13843220880297952,0.4123557349705081,0.0,0.0,0.0,0
fireimage,DenseNet121,70:30,0.27588579291365667,0.19705159705159705,1.0333555742026934,0.14011591867096454,0.24143895972206034,0.0,0.0,0.0,0
fireimage,DenseNet121,90:10,0.3547103051747015,0.19705159705159705,0.9536092524399856,0.14514035354743318,0.07847602082388344,0.0,0.0,0.0,0
fireimage,DenseNet121,10:90,0.0423728813559322,0.21226415094339623,1.2682178498661452,0.1385391173916476,0.7741592087278981,0.0,0.0,0.0,1
fireimage,DenseNet121,30:70,0.13469985358711567,0.22439024390243903,1.1749333366642585,0.14143279926523117,0.5162801626234594,0.0,0.0,0.0,1
fireimage,DenseNet121,50:50,0.20950888192267503,0.20950888192267503,1.0996455829843583,0.12830663133333114,0.32861825772045455,0.0,0.0,0.0,1
fireimage,DenseNet121,70:30,0.3024776324845148,0.21607669616519173,1.0073141488057535,0.13311350391960525,0.18148503945210767,0.0,0.0,0.0,1
fireimage,DenseNet121,90:10,0.38849557522123895,0.21583087512291052,0.9213861194332089,0.13307511246856538,0.056472515506225236,0.0,0.0,0.0,1
fireimage,DenseNet121,10:90,0.2137476459510358,0.26970671824425674,1.1108654610630257,0.22318327149285544,0.78787020084445,0.31388660640920296,0.7318007662835249,0.1997907949790795,2
fireimage,DenseNet121,30:70,0.26500732064421667,0.3084319828553934,1.0542917536083463,0.279624196346566,0.5557323034391743,0.2756132756132756,0.4441860465116279,0.1997907949790795,2
fireimage,DenseNet121,50:50,0.290491118077325,0.290491118077325,1.024218511805639,0.26619508237711675,0.36435913423742977,0.21954022988505748,0.24393358876117496,0.19958202716823406,2
fireimage,DenseNet121,70:30,0.31727460426703374,0.285282649093845,0.9941587613027668,0.24833309653324673,0.20264094112147343,0.15286080273270708,0.12176870748299319,0.20527522935779816,2
fireimage,DenseNet121,90:10,0.34690265486725663,0.2753195673549656,0.9595086559785151,0.2509593546871329,0.06472492554646994,0.05384615384615385,0.031484257871064465,0.18584070796460178,2
fireimage,DenseNet121,10:90,0.0973006905210295,0.22040538406884028,1.2185085842389396,0.1666123917791637,0.7921789654519052,0.10462886880306765,0.24393358876117496,0.06659693165969317,CV_MEAN
fireimage,DenseNet121,30:70,0.17325524646168863,0.24427407558594416,1.1402436080009197,0.18429304010613326,0.5555863741689727,0.09187109187109187,0.14806201550387596,0.06659693165969317,CV_MEAN
fireimage,DenseNet121,50:50,0.23406478578892373,0.23406478578892373,1.0772344880052578,0.17764464083780915,0.3684443756427975,0.07318007662835249,0.08131119625372499,0.06652734238941135,CV_MEAN
fireimage,DenseNet121,70:30,0.29854600988840174,0.2328036474368779,1.0116094947704046,0.17385417304127215,0.20852164676521381,0.05095360091090236,0.04058956916099773,0.06842507645259939,CV_MEAN
fireimage,DenseNet121,90:10,0.3633695117543991,0.22940067984315773,0.9448346759505699,0.17639160690104383,0.0665578206255262,0.01794871794871795,0.010494752623688154,0.06194690265486726,CV_MEAN
